Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
1.0,20.0,20.0,0.9823394220347178
2.0,14.0,14.0,0.9701648064649079
3.0,19.0,19.0,0.9538855724078484
4.0,16.0,16.0,0.940391014169651
5.0,41.0,41.0,0.906685280943313
6.0,38.0,38.0,0.8765371164324992
7.0,36.0,36.0,0.8489112692512522
8.0,53.0,53.0,0.809834589471326
9.0,39.0,39.0,0.7822473831039836
10.0,25.0,25.0,0.7650658342492364
11.0,17.0,17.0,0.7536012546634678
12.0,13.0,13.0,0.7449518178574458
13.0,45.0,45.0,0.7157809661628279
14.0,19.0,19.0,0.7038147146778522
15.0,22.0,22.0,0.6902122917029373
16.0,16.0,16.0,0.6804874218108092
17.0,39.0,39.0,0.6573615466415093
18.0,13.0,13.0,0.649831552907356
19.0,29.0,29.0,0.633347995520098
20.0,21.0,21.0,0.6216773533767942
21.0,34.0,34.0,0.6032435026505015
22.0,19.0,19.0,0.5931852816373466
23.0,19.0,19.0,0.5832975939878061
24.0,36.0,36.0,0.5650204406835282
25.0,9.0,9.0,0.5605429334988333
26.0,41.0,41.0,0.5405981436593503
27.0,20.0,20.0,0.5311328205438655
28.0,12.0,12.0,0.5255348694299857
29.0,17.0,17.0,0.5177072201420326
30.0,65.0,65.0,0.48885840253176843
31.0,12.0,12.0,0.483714558540047
32.0,13.0,13.0,0.47820439551586125
33.0,11.0,11.0,0.473592040827308
34.0,9.0,9.0,0.46985211245455244
35.0,14.0,14.0,0.4640943260671779
36.0,18.0,18.0,0.4567972637755064
37.0,12.0,12.0,0.45199781698990527
38.0,9.0,9.0,0.4484320953405288
39.0,15.0,15.0,0.4425530349986968
40.0,14.0,14.0,0.43713705905930345
41.0,10.0,10.0,0.43331007279806766
42.0,11.0,11.0,0.4291399791003551
43.0,12.0,12.0,0.4246376238074613
44.0,14.0,14.0,0.41944596587789623
45.0,18.0,18.0,0.4128663797730423
46.0,12.0,12.0,0.4085388336840403
47.0,39.0,39.0,0.39479277519273553
48.0,52.0,52.0,0.37719937002572107
49.0,35.0,35.0,0.3658128687704342
50.0,20.0,20.0,0.35946553451793817
51.0,13.0,13.0,0.35540061392005184
52.0,19.0,19.0,0.3495444760991307
53.0,38.0,38.0,0.3381283829149025
54.0,17.0,17.0,0.3331462293202854
55.0,21.0,21.0,0.3270961192221396
56.0,22.0,22.0,0.32087936502809483
57.0,43.0,43.0,0.30907815976550057
58.0,19.0,19.0,0.30400740177541885
59.0,11.0,11.0,0.3011110889021616
60.0,19.0,19.0,0.29617540960946626
61.0,26.0,26.0,0.2895566465636425
62.0,32.0,32.0,0.2816202478405191
63.0,37.0,37.0,0.2727242342567818
64.0,27.0,27.0,0.26641697887840393
65.0,11.0,11.0,0.2638909751371289
66.0,13.0,13.0,0.26093776072107494
67.0,10.0,10.0,0.2586894534334334
68.0,29.0,29.0,0.25228263142121954
69.0,11.0,11.0,0.24989586734618466
70.0,12.0,12.0,0.24731893247490905
71.0,12.0,12.0,0.24476967875297642
72.0,42.0,42.0,0.23606101554655054
73.0,13.0,13.0,0.23343151424324787
