Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
1.0,16.0,16.0,0.9984172665244303
2.0,30.0,30.0,0.9954564581580125
3.0,12.0,12.0,0.9942746196531465
4.0,13.0,13.0,0.9929958939993595
5.0,15.0,15.0,0.9915225054760133
6.0,20.0,20.0,0.9895614222020296
7.0,14.0,14.0,0.9881909957333113
8.0,9.0,9.0,0.987311019885681
9.0,27.0,27.0,0.9846758392267513
10.0,17.0,17.0,0.9830202979088956
11.0,12.0,12.0,0.9818533738458736
12.0,13.0,13.0,0.9805907853202301
13.0,19.0,19.0,0.978748413635469
14.0,11.0,11.0,0.9776833762584186
15.0,22.0,22.0,0.9755568129080493
16.0,25.0,25.0,0.9731459357279194
17.0,14.0,14.0,0.9717984748605928
18.0,21.0,21.0,0.9697808173452657
19.0,20.0,20.0,0.9678631739931417
20.0,13.0,13.0,0.966618760910709
21.0,12.0,12.0,0.9654715068877004
22.0,16.0,16.0,0.9639439748282013
23.0,15.0,15.0,0.9625141315165383
24.0,12.0,12.0,0.9613718000946513
25.0,12.0,12.0,0.9602308386483209
26.0,18.0,18.0,0.9585219615895036
27.0,12.0,12.0,0.9573844178983162
28.0,19.0,19.0,0.9555860964506797
29.0,22.0,22.0,0.953508093679664
30.0,16.0,16.0,0.9519996877762925
31.0,17.0,17.0,0.9503996487256086
32.0,25.0,25.0,0.9480515859052693
33.0,21.0,21.0,0.9460837445314924
34.0,12.0,12.0,0.9449611177488393
35.0,25.0,25.0,0.9426266342746865
36.0,13.0,13.0,0.9414150073782496
37.0,15.0,15.0,0.940018932185341
38.0,13.0,13.0,0.9388106930990665
39.0,16.0,16.0,0.9373257842339806
40.0,40.0,40.0,0.9336238898217271
41.0,13.0,13.0,0.9324239588890553
42.0,16.0,16.0,0.930949260628044
43.0,15.0,15.0,0.9295688722871803
44.0,22.0,22.0,0.9275480444937885
45.0,19.0,19.0,0.9258063583350583
46.0,14.0,14.0,0.9245251265049381
47.0,22.0,22.0,0.9225153827553484
48.0,14.0,14.0,0.9212387550673883
49.0,17.0,17.0,0.9196909651779391
50.0,12.0,12.0,0.9185999907353082
51.0,31.0,31.0,0.9157876920791279
52.0,13.0,13.0,0.9146109331384633
53.0,21.0,21.0,0.9127132434504459
54.0,21.0,21.0,0.910819534729295
55.0,14.0,14.0,0.9095592697719874
56.0,23.0,23.0,0.9074926609626726
57.0,24.0,24.0,0.9053412612886427
58.0,16.0,16.0,0.9039098606964201
59.0,27.0,27.0,0.901499559443489
60.0,19.0,19.0,0.8998073184186025
61.0,35.0,35.0,0.8966984365211077
62.0,10.0,10.0,0.8958121812860588
63.0,31.0,31.0,0.8930704154568044
64.0,14.0,14.0,0.8918349818804557
65.0,21.0,21.0,0.8899850715042439
66.0,12.0,12.0,0.8889297227543306
67.0,37.0,37.0,0.8856836916408791
68.0,18.0,18.0,0.8841088787527244
69.0,22.0,22.0,0.8821879530125558
70.0,13.0,13.0,0.8810548453531973
71.0,36.0,36.0,0.8779246855780929
72.0,16.0,16.0,0.8765371164324991
73.0,35.0,35.0,0.8735095378781081
74.0,15.0,15.0,0.872215244533979
75.0,22.0,22.0,0.8703204560275926
76.0,11.0,11.0,0.8693746238290428
77.0,40.0,40.0,0.865943991173214
78.0,34.0,34.0,0.8630387233572531
79.0,31.0,31.0,0.8603983979337122
80.0,16.0,16.0,0.8590388484266611
81.0,31.0,31.0,0.8564109034158509
82.0,22.0,22.0,0.854550846241451
83.0,14.0,14.0,0.8533693023304361
84.0,46.0,46.0,0.8494987127209551
85.0,27.0,27.0,0.8472351234172988
86.0,32.0,32.0,0.8445602530974308
87.0,12.0,12.0,0.8435593814368149
88.0,25.0,25.0,0.8414780856869183
89.0,24.0,24.0,0.8394849310235798
90.0,16.0,16.0,0.8381588163086185
91.0,17.0,17.0,0.8367521423325476
92.0,14.0,14.0,0.8355954991724125
93.0,36.0,36.0,0.8326286988201694
94.0,18.0,18.0,0.8311492990215499
95.0,16.0,16.0,0.8298365106538711
96.0,28.0,28.0,0.8275441791857518
97.0,19.0,19.0,0.825992319978397
98.0,13.0,13.0,0.8249322191772432
99.0,18.0,18.0,0.8234666605811615
100.0,26.0,26.0,0.8213543943995963
