episode,reward,epsilon,loss
1,19.0,1.0,0.0
2,9.0,0.9473643658981972,0.0
3,17.0,0.8750648461127845,28421727.7365913
4,20.0,0.7708722842231793,34752914.6875
5,14.0,0.6431586994908407,61705014.178571425
6,20.0,0.5179970463101287,1646713302.4
7,17.0,0.3977424030638146,6585568421.6470585
8,15.0,0.295540520015449,379432214.3666667
9,33.0,0.2157469097076764,8446240.327237217
10,11.0,0.15133805272468398,558462.8117897727
11,8.0,0.10994706870377395,4493562.6787109375
12,16.0,0.0846210536704207,6306629.882324219
13,16.0,0.0690575240070203,12452167.672851562
14,29.0,0.05999876899178069,2206595.6922144396
15,32.0,0.0548088693042122,309366.8698730469
16,38.0,0.052101102032776826,4271.898098594264
17,101.0,0.05081910908145723,694.9517416717982
18,62.0,0.05023585501277296,1229.1251405746707
19,42.0,0.050056385794915274,2894.456447419666
20,95.0,0.05001188428885574,12269754.738221178
21,12.0,0.0500018836610752,61575933.041666664
22,29.0,0.050000288003474,24874658.163793102
23,10.0,0.05000004036538225,138011498.825
24,10.0,0.050000005490243145,81051115.1875
25,22.0,0.05000000072467829,40775222.04261363
26,75.0,0.0500000000895438,15634671.930833334
27,26.0,0.05000000000883506,31769482.47596154
28,10.0,0.05000000000080632,114495145.7
29,15.0,0.05000000000007142,75467951.45833333
30,12.0,0.05000000000000605,43354253.083333336
31,10.0,0.050000000000000495,85212959.5
32,26.0,0.050000000000000044,19700518.75721154
33,65.0,0.05,13305889.029326923
34,12.0,0.05,106691574.25
35,10.0,0.05,150536979.2
36,10.0,0.05,367147233.4
37,10.0,0.05,298776357.1
38,10.0,0.05,366964778.2
39,15.0,0.05,98192997.06666666
40,8.0,0.05,170959089.25
41,8.0,0.05,157687163.5
42,11.0,0.05,125735687.27272727
43,8.0,0.05,617156625.5
44,8.0,0.05,608515003.5
45,8.0,0.05,290374124.0
46,8.0,0.05,241564634.75
47,8.0,0.05,655095944.25
48,40.0,0.05,251856820.65
49,15.0,0.05,174159165.86666667
50,22.0,0.05,281877088.45454544
51,60.0,0.05,267482347.58333334
52,29.0,0.05,226177381.0
53,73.0,0.05,253733615.56164384
54,47.0,0.05,385437198.85106385
55,40.0,0.05,481450810.425
56,23.0,0.05,196581673.91304347
57,11.0,0.05,1055133336.7272727
58,22.0,0.05,457022723.59090906
59,11.0,0.05,776848056.5454545
60,29.0,0.05,1335497154.586207
61,55.0,0.05,1296932275.1272728
62,10.0,0.05,3057215932.6
63,22.0,0.05,2546952799.7272725
64,9.0,0.05,5358899926.666667
65,14.0,0.05,3148193461.285714
66,37.0,0.05,7173848876.864865
67,54.0,0.05,7553823827.555555
68,15.0,0.05,21148463610.666668
69,29.0,0.05,17989719320.827587
70,11.0,0.05,21137145236.363636
71,11.0,0.05,26903089821.090908
72,10.0,0.05,43686315648.0
73,13.0,0.05,40196353585.23077
74,23.0,0.05,19350098518.260868
75,12.0,0.05,22512830106.666668
76,21.0,0.05,23633284992.0
77,9.0,0.05,122592942179.55556
78,11.0,0.05,49081276648.72727
79,10.0,0.05,155446462464.0
80,15.0,0.05,327916586103.4667
81,8.0,0.05,214384521984.0
82,8.0,0.05,306844324608.0
83,8.0,0.05,436510698496.0
84,25.0,0.05,366765688791.04
85,20.0,0.05,352642336332.8
86,8.0,0.05,1284435088896.0
87,12.0,0.05,730786749781.3334
88,254.0,0.05,855991085993.3229
89,93.0,0.05,3265146710434.4087
90,12.0,0.05,7356454356309.333
91,108.0,0.05,4088050378979.5557
92,109.0,0.05,4345721691746.642
93,95.0,0.05,5126846102172.295
94,211.0,0.05,10286496979011.943
95,28.0,0.05,6247746687561.143
96,27.0,0.05,9439245093243.26
97,37.0,0.05,13492025340900.324
98,159.0,0.05,11195685380559.697
99,88.0,0.05,13808347877003.637
100,140.0,0.05,16499573809152.0
101,10.0,0.05,58488668894003.2
102,10.0,0.05,79395064853299.2
103,10.0,0.05,39426417701683.2
104,12.0,0.05,33467688725162.668
105,10.0,0.05,97933841085235.2
106,10.0,0.05,84086257876992.0
107,10.0,0.05,235892196245504.0
108,10.0,0.05,130178605278822.4
109,10.0,0.05,186201424055500.8
110,10.0,0.05,210287429523865.6
111,10.0,0.05,227099641433292.8
112,10.0,0.05,202662006174515.2
113,10.0,0.05,379621966295859.2
114,13.0,0.05,143713642096482.47
115,10.0,0.05,168369868452659.2
116,10.0,0.05,223458930511052.8
117,10.0,0.05,292706748622438.4
118,11.0,0.05,337577367496890.2
119,10.0,0.05,249290633196339.2
120,10.0,0.05,282324034492825.6
121,13.0,0.05,181686540737929.84
122,10.0,0.05,282526710287564.8
123,11.0,0.05,375763559871581.06
124,10.0,0.05,78754175411814.4
125,10.0,0.05,139190959970713.6
126,11.0,0.05,193047256676910.53
127,10.0,0.05,291780384679526.4
128,10.0,0.05,397318887256883.2
129,12.0,0.05,138193833383253.33
130,12.0,0.05,230196672943445.34
131,12.0,0.05,125008857967274.67
132,13.0,0.05,162816057913659.06
133,12.0,0.05,124317277705557.33
134,15.0,0.05,37791478762700.8
135,10.0,0.05,12650233331712.0
136,10.0,0.05,9745599730483.2
137,11.0,0.05,11704598924194.908
138,15.0,0.05,5096845216972.8
139,18.0,0.05,9645784283363.555
140,8.0,0.05,20068673814528.0
141,12.0,0.05,12337194445482.666
142,8.0,0.05,11465408954368.0
143,8.0,0.05,20415264161792.0
144,10.0,0.05,10260753527603.2
145,19.0,0.05,12177623089152.0
146,13.0,0.05,4926915664029.538
147,30.0,0.05,5886404793685.333
148,10.0,0.05,26326222320435.2
149,12.0,0.05,19919110187690.668
150,77.0,0.05,16398157212685.299
151,115.0,0.05,17952932092456.07
152,163.0,0.05,21969655847301.496
153,54.0,0.05,24352570586149.926
154,34.0,0.05,52850180980736.0
155,55.0,0.05,39388656878461.67
156,118.0,0.05,33621543895317.695
157,21.0,0.05,37175943838963.81
158,25.0,0.05,40947115836047.36
159,49.0,0.05,37748620199225.47
160,14.0,0.05,52998803090870.86
161,45.0,0.05,43168675782109.87
162,11.0,0.05,89253172990324.36
163,11.0,0.05,78554908685405.1
164,12.0,0.05,42339418275840.0
165,10.0,0.05,111659558345113.6
166,10.0,0.05,149366923224678.4
167,10.0,0.05,37575920320512.0
168,8.0,0.05,135150303838208.0
169,8.0,0.05,120757494349824.0
170,8.0,0.05,178530255372288.0
171,13.0,0.05,142207200062542.78
172,8.0,0.05,154160155787264.0
173,9.0,0.05,270919844786631.12
174,8.0,0.05,143265504854016.0
175,8.0,0.05,71917336723456.0
176,8.0,0.05,144718772699136.0
177,12.0,0.05,274744507367424.0
178,8.0,0.05,220923185070080.0
179,8.0,0.05,129939742130176.0
180,9.0,0.05,247780838968888.88
181,8.0,0.05,156484293099520.0
182,8.0,0.05,341146452099072.0
