episode,reward,epsilon,loss
1,19.0,1.0,0.0
2,9.0,0.9473643658981972,0.0
3,16.0,0.8750648461127845,1.3815093437830608
4,17.0,0.7730381482474875,13.86647123448989
5,18.0,0.6521231452436216,20.283881849712795
6,14.0,0.5250699159109792,246.66257653917586
7,11.0,0.40940934820367286,456.5332013910467
8,16.0,0.3130810039576662,315.426776856184
9,31.0,0.23354538830026295,29.08710620480199
10,8.0,0.16668313168597865,87.00748628377914
11,12.0,0.12241851397546501,22.92835881312688
12,8.0,0.09335673196996556,97.24320673942566
13,9.0,0.07534197177454897,33.01382456885444
14,18.0,0.06441777736778957,18.284407748116386
15,17.0,0.057771490586028484,69.21041516696705
16,19.0,0.05398071712248535,39.67519667274073
17,17.0,0.05192603210903478,25.757604248383466
18,26.0,0.05088555738788585,49.21105373822726
19,40.0,0.050376612671806584,56.65964056700468
20,15.0,0.050142055420060436,52.94515711466472
21,8.0,0.05005122446569796,177.67161417007446
22,10.0,0.05001803324977414,63.33937603831291
23,8.0,0.05000616086545475,64.2260886579752
24,11.0,0.050002054879612644,55.798881183971055
25,9.0,0.050000663130990164,44.6602335439788
26,16.0,0.05000020829858238,85.84523767232895
27,10.0,0.050000062363024435,261.4722038269043
28,11.0,0.050000018119207124,3296.8188920454545
29,10.0,0.05000000509353732,4816.227728271484
30,11.0,0.05000000138953971,4725.328643798828
31,10.0,0.05000000036676739,6375.265805053711
32,10.0,0.05000000009394672,2403.0935943603517
33,10.0,0.05000000002335306,6245.448901367187
34,10.0,0.05000000000563348,1098.6948249816894
35,12.0,0.05000000000131881,201.69028290112814
36,10.0,0.05000000000029782,156.33059554100038
37,14.0,0.05000000000006527,44.146718297685894
38,19.0,0.05000000000001372,61.323851346969604
39,53.0,0.05000000000000272,35.5478788186919
40,22.0,0.05000000000000046,30.405005622993816
41,15.0,0.05000000000000007,40.730597225824994
42,12.0,0.05000000000000002,40.8827383518219
43,21.0,0.05,51.62634187652951
44,8.0,0.05,46.393784552812576
45,34.0,0.05,39.47569390254862
46,9.0,0.05,69.23280419243707
47,20.0,0.05,48.760462772846225
48,13.0,0.05,38.30070246182955
49,15.0,0.05,67.26395975748697
50,11.0,0.05,132.2371052828702
51,29.0,0.05,63.353544724398645
52,35.0,0.05,57.38699444362096
53,25.0,0.05,53.00721913337708
54,15.0,0.05,37.499011007944745
55,36.0,0.05,67.29257018698587
56,29.0,0.05,63.73789056827282
57,22.0,0.05,45.248299213972956
58,13.0,0.05,53.822083950042725
59,36.0,0.05,33.283284697267746
60,59.0,0.05,44.16873740543753
61,14.0,0.05,86.8009753397533
62,25.0,0.05,146.95052639007568
63,43.0,0.05,124.40593839246174
64,25.0,0.05,105.54672576904296
65,34.0,0.05,99.68603016348446
66,29.0,0.05,120.63646428338413
67,25.0,0.05,51.12179269790649
68,37.0,0.05,156.0681346171611
69,11.0,0.05,134.14964554526588
70,14.0,0.05,286.9325362614223
71,20.0,0.05,582.9436549186706
72,33.0,0.05,284.040919563987
73,34.0,0.05,471.42340564727783
74,138.0,0.05,457.20287605645
75,142.0,0.05,4271.550052924895
76,13.0,0.05,6950.601808988131
77,23.0,0.05,9611.407733419666
78,25.0,0.05,8423.569412841796
79,16.0,0.05,20187.21946334839
80,12.0,0.05,50966.80945332845
81,22.0,0.05,20513.425520463425
82,18.0,0.05,29880.250685797797
83,26.0,0.05,19518.859290489785
84,114.0,0.05,18523.033129775733
85,55.0,0.05,25691.430828302557
86,60.0,0.05,53318.46453857422
87,31.0,0.05,174234.3658486643
88,46.0,0.05,160725.763671875
89,223.0,0.05,489926.15044317546
90,9.0,0.05,566991.8706597222
91,10.0,0.05,5608059.976953125
92,245.0,0.05,1547501.7635682398
93,127.0,0.05,4329103.714689961
94,88.0,0.05,7720175.886985085
95,84.0,0.05,9500975.16592262
96,128.0,0.05,11022431.255371094
97,58.0,0.05,14605642.905172413
98,84.0,0.05,38738895.83258928
99,98.0,0.05,35211585.207270406
100,126.0,0.05,62053283.415674604
101,96.0,0.05,157538546.80078125
102,72.0,0.05,160596150.5190972
103,29.0,0.05,421304620.3103448
104,72.0,0.05,301277891.1840278
105,30.0,0.05,833438456.95
106,20.0,0.05,722884637.8
107,47.0,0.05,240719443.5425532
108,55.0,0.05,999482807.1363636
109,29.0,0.05,358575850.5
110,17.0,0.05,587751926.7647059
111,16.0,0.05,152086034.9375
112,10.0,0.05,1142246779.8
113,10.0,0.05,551998308.3
114,10.0,0.05,2072708503.0
115,9.0,0.05,2436296040.0
116,67.0,0.05,1577427149.7761195
117,20.0,0.05,746974257.3
118,16.0,0.05,3072802622.875
119,10.0,0.05,2631714551.2
120,13.0,0.05,475341768.0
121,29.0,0.05,1227362741.1034484
122,78.0,0.05,2170415661.25641
123,24.0,0.05,4925916421.166667
124,307.0,0.05,2911614440.4820848
125,73.0,0.05,5164815552.657535
126,218.0,0.05,6448603470.183486
127,115.0,0.05,6416067825.252174
128,42.0,0.05,12110637808.0
129,52.0,0.05,14021813061.076923
130,27.0,0.05,19517074747.25926
131,24.0,0.05,3497660761.3333335
132,26.0,0.05,23920641323.692307
133,59.0,0.05,11310868635.118645
134,76.0,0.05,12401803445.894737
135,49.0,0.05,20309543724.734695
136,62.0,0.05,11942622024.258064
137,49.0,0.05,15540084288.979591
138,108.0,0.05,20388776163.703705
139,42.0,0.05,44405764330.666664
140,44.0,0.05,18471897179.636364
141,74.0,0.05,34916883758.27027
142,31.0,0.05,42969956391.22581
143,48.0,0.05,33831535480.666668
144,44.0,0.05,60178061558.545456
145,36.0,0.05,40980422500.44444
146,46.0,0.05,75565044397.91304
147,38.0,0.05,50000930989.47369
148,37.0,0.05,60647363254.48649
149,48.0,0.05,54820566578.666664
150,27.0,0.05,94750964778.66667
151,29.0,0.05,42022810886.62069
152,27.0,0.05,58796953154.37037
153,32.0,0.05,54820142870.0
154,27.0,0.05,57775463021.03704
155,16.0,0.05,21839200712.0
156,18.0,0.05,54415169724.44444
157,17.0,0.05,77691500777.41176
158,17.0,0.05,137267073189.64706
159,23.0,0.05,96941702422.26086
160,22.0,0.05,119666227074.90909
161,21.0,0.05,73394618721.5238
162,21.0,0.05,71259965299.80952
163,15.0,0.05,194461215377.06668
164,17.0,0.05,126701101575.52942
165,15.0,0.05,71170386218.66667
166,15.0,0.05,25260148650.666668
167,14.0,0.05,84174034048.0
168,12.0,0.05,58757156202.666664
169,15.0,0.05,98381351116.8
170,12.0,0.05,84709513578.66667
171,12.0,0.05,150064005098.66666
172,20.0,0.05,344949945875.2
173,26.0,0.05,138484431404.30768
174,13.0,0.05,120279469312.0
175,13.0,0.05,135481036307.6923
176,14.0,0.05,151025780297.14285
177,12.0,0.05,152983996053.33334
178,28.0,0.05,280570166966.8571
